date,time,month,day_of_week,week_no,presenter,affiliation,departmental_contact,title,abstract,google_scholar_profile,link_to_paper,speakers_webpages,office_required_y_n_and_if_yes_for_what_days,office_booked_y_n,do_they_require_accommodation_y_n,no_nights,from_when,to_when,accom_booked,gender_m_f_pnts,any_special_requirement_for_presentation,anything_else_we_should_know,masci_web_portal_updated,s_and_e_events_updated_events_se_ul_ie,date_fancy
2026-09-10,11am,Sep,Thursday,1,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 10th of September 2026
2026-09-24,11am,Sep,Thursday,3,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 24th of September 2026
2026-10-08,11am,Oct,Thursday,5,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,e,Email sent to Castltroy park hotel on 13 NOv 2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 8th of October 2026
2026-10-22,11am,Oct,Thursday,7,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 22nd of October 2026
2026-11-05,11am,Nov,Thursday,9,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 5th of November 2026
2026-11-19,11am,Apr,Thursday,11,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 19th of November 2026
2026-04-09,11am,May,Thursday,13,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 9th of April 2026
