date,time,month,day_of_week,week_no,presenter,affiliation,departmental_contact,title,abstract,google_scholar_profile,link_to_paper,speakers_webpages,office_required_y_n_and_if_yes_for_what_days,office_booked_y_n,do_they_require_accommodation_y_n,no_nights,from_when,to_when,accom_booked,gender_m_f_pnts,any_special_requirement_for_presentation,anything_else_we_should_know,masci_web_portal_updated,s_and_e_events_updated_events_se_ul_ie,date_fancy
2027-01-28,11am,Jan,Thursday,1,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 28th of January 2027
2027-02-11,11am,Feb,Thursday,3,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 11th of February 2027
2027-02-25,11am,Feb,Thursday,5,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 25th of February 2027
2027-03-11,11am,Mar,Thursday,7,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 11th of March 2027
2027-03-25,11am,Mar,Thursday,9,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 25th of March 2027
2027-04-08,11am,Apr,Thursday,11,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 8th of April 2027
2027-04-22,11am,May,Thursday,13,Open,TBC,TBC,TBC,TBC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thursday the 22nd of April 2027
